销售价格,卧室数,浴室数,居住面积,土地面积,楼层数,视野,成色,建筑设计水平,建筑年份,纬度,经度,附近15间房屋平均居住面积,附近15间房屋平均土地面积,每间卧室平均浴室数,有无地下室,距最近优质啤酒厂的距离,距医院的交通距离,销售年份,销售季度,是否位于西雅图,最近一次翻新距今年份,是否邻近海岸
221900,3,1,1180,5650,1,0,3,7,1955,47.5112,-122.257,1340,5650,3,无,7.61,0.336464545,2014,Q4,是,59,否
538000,3,2.25,2570,7242,2,0,3,7,1951,47.721,-122.319,1690,7639,1.333333333,有,4.6,0.167000388,2014,Q4,是,23,否
604000,4,3,1960,5000,1,0,5,7,1965,47.5208,-122.393,1360,5000,1.333333333,有,6.66,0.381804669,2014,Q4,是,49,是
510000,3,2,1680,8080,1,0,3,8,1987,47.6168,-122.045,1800,7503,1.5,无,12.86,0.13224325,2015,Q1,否,28,否
257500,3,2.25,1715,6819,2,0,3,7,1995,47.3097,-122.327,2238,6819,1.333333333,无,20.87,0.498346866,2014,Q2,否,19,否
291850,3,1.5,1060,9711,1,0,3,7,1963,47.4095,-122.315,1650,9711,2,无,14.03,0.498346866,2015,Q1,是,52,否
229500,3,1,1780,7470,1,0,3,7,1960,47.5123,-122.337,1780,8113,3,有,6.87,0.346140266,2015,Q2,是,55,否
323000,3,2.5,1890,6560,2,0,3,7,2003,47.3684,-122.031,2390,7570,1.2,无,21.64,0.437399093,2015,Q1,否,12,否
662500,3,2.5,3560,9796,1,0,3,8,1965,47.6007,-122.145,2210,8925,1.2,有,8.23,0.240961112,2015,Q2,否,50,否
468000,2,1,1160,6000,1,0,4,7,1942,47.69,-122.292,1330,6000,2,有,3.73,0.105941172,2014,Q2,是,72,否
400000,3,1.75,1370,9680,1,0,4,7,1977,47.6127,-122.045,1370,10208,1.714285714,无,12.86,0.13224325,2014,Q4,否,37,否
530000,5,2,1810,4850,1.5,0,3,7,1900,47.67,-122.394,1360,4850,2.5,无,0.67,0.153011548,2015,Q1,是,115,是
650000,4,3,2950,5000,2,3,3,9,1979,47.5714,-122.375,2140,4000,1.333333333,有,3.11,0.267484281,2015,Q1,是,36,否
485000,4,1,1600,4300,1.5,0,4,7,1916,47.6648,-122.343,1610,4300,4,无,1.08,0.076287718,2014,Q2,是,98,否
189000,2,1,1200,9850,1,0,4,7,1921,47.3089,-122.21,1060,5095,2,无,21.62,0.503535928,2014,Q4,否,93,否
230000,3,1,1250,9774,1,0,4,7,1969,47.3343,-122.306,1280,8850,3,无,19.25,0.501579779,2015,Q2,否,46,否
385000,4,1.75,1620,4980,1,0,4,7,1947,47.7025,-122.341,1400,4980,2.285714286,有,2.97,0.144350271,2014,Q2,是,67,否
285000,5,2.5,2270,6300,2,0,3,8,1995,47.3266,-122.169,2240,7005,2,无,21,0.503535928,2014,Q3,否,19,否
252700,2,1.5,1070,9643,1,0,3,7,1985,47.3533,-122.166,1220,8386,1.333333333,无,19.32,0.503535928,2014,Q2,否,29,否
329000,3,2.25,2450,6500,2,0,4,8,1985,47.3739,-122.172,2200,6865,1.333333333,无,17.9,0.503535928,2014,Q4,否,29,否
233000,3,2,1710,4697,1.5,0,5,6,1941,47.3048,-122.218,1030,4705,1.5,无,21.81,0.503535928,2014,Q4,否,73,否
937000,3,1.75,2450,2691,2,0,3,8,1915,47.6386,-122.36,1760,3573,1.714285714,有,0.87,0.110788356,2014,Q2,是,99,否
667000,3,1,1400,1581,1.5,0,5,8,1909,47.6221,-122.314,1860,3861,3,无,0.71,0.084979632,2014,Q4,是,105,否
438000,3,1.75,1520,6380,1,0,3,7,1948,47.695,-122.304,1520,6235,1.714285714,有,3.68,0.107818285,2014,Q2,是,66,否
719000,4,2.5,2570,7173,2,0,3,8,2005,47.7073,-122.11,2630,6026,1.6,无,11.65,0.13224325,2015,Q1,否,10,否
580500,3,2.5,2320,3980,2,0,3,8,2003,47.5391,-122.07,2580,3980,1.2,无,12.76,0.415300639,2014,Q4,否,11,否
280000,2,1.5,1190,1265,3,0,3,7,2005,47.7274,-122.357,1390,1756,1.333333333,无,4.35,0.219811861,2014,Q4,是,9,否
687500,4,1.75,2330,5000,1.5,0,4,7,1929,47.6823,-122.368,1460,5000,2.285714286,有,1.19,0.144271557,2014,Q2,是,85,否
535000,3,1,1090,3000,1.5,0,4,8,1929,47.6889,-122.375,1570,5080,3,无,1.62,0.161604446,2014,Q4,是,85,否
322500,4,2.75,2060,6659,1,0,3,7,1981,47.4276,-122.157,2020,8720,1.454545455,有,14.9,0.437399093,2014,Q4,否,33,否
696000,3,2.5,2300,3060,1.5,0,3,8,1930,47.6827,-122.31,1590,3264,1.2,有,2.82,0.077903069,2014,Q2,是,12,否
640000,4,2,2360,6000,2,0,4,8,1904,47.6702,-122.362,1730,4700,2,无,0.62,0.110077399,2014,Q4,是,110,否
240000,4,1,1220,8075,1,0,2,7,1969,47.3341,-122.282,1290,7800,4,有,19.33,0.501579779,2015,Q1,否,46,否
605000,4,2.5,2620,7553,2,0,3,8,1996,47.5301,-122.18,2620,11884,1.6,无,8.69,0.393844328,2014,Q2,否,18,否
625000,4,2.5,2570,5520,2,0,3,9,2000,47.6145,-122.027,2470,5669,1.6,无,13.7,0.13224325,2014,Q3,否,14,否
861990,5,2.75,3595,5639,2,0,3,9,2014,47.6848,-122.016,3625,5639,1.818181818,无,15.05,0.13224325,2014,Q3,否,0,否
685000,3,1,1570,2280,2,0,3,7,1922,47.6413,-122.364,1580,2640,3,无,0.88,0.111862481,2014,Q4,是,92,否
309000,3,1,1280,9656,1,0,4,6,1959,47.4485,-122.175,1340,8808,3,有,13.23,0.437399093,2014,Q3,否,55,否
210490,3,1,990,8528,1,0,3,6,1966,47.3066,-122.371,1228,8840,3,无,21.11,0.507470721,2015,Q1,否,49,否
450000,3,1.75,1250,5963,1,0,4,7,1953,47.6796,-122.301,970,5100,1.714285714,无,2.92,0.070002958,2015,Q2,是,62,否
228000,3,1,1190,9199,1,0,3,7,1955,47.4258,-122.322,1190,9364,3,无,12.88,0.498346866,2014,Q3,是,59,否
345000,5,2.5,3150,9134,1,0,4,8,1966,47.4934,-122.189,1990,9133,2,有,10.28,0.418648795,2015,Q1,否,49,否
600000,3,1.75,1410,4080,1,0,4,7,1950,47.6808,-122.384,1410,4080,1.714285714,有,1.18,0.16441763,2014,Q4,是,64,否
585000,2,1.75,1980,8550,1,0,3,7,1981,47.6989,-122.369,1480,6738,1.142857143,有,2.32,0.17257921,2015,Q1,是,34,否
920000,5,2.25,2730,6000,1.5,0,3,8,1927,47.6571,-122.281,2730,6000,2.222222222,有,3.01,0.059199097,2015,Q1,是,88,是
885000,4,2.5,2830,5000,2,0,3,9,1995,47.6597,-122.29,1950,5000,1.6,无,2.64,0.048304986,2014,Q2,是,19,是
292500,4,2.5,2250,4495,2,0,3,7,2008,47.3663,-122.114,2250,4500,1.6,无,19.57,0.503535928,2014,Q3,否,6,否
301000,3,2.5,2420,4750,2,0,3,8,2003,47.3663,-122.122,2690,4750,1.2,无,19.39,0.503535928,2015,Q2,否,12,否
430000,4,3,1850,9976,2,0,3,8,1991,47.5059,-122.149,2270,8542,1.333333333,无,10.89,0.418648795,2015,Q1,否,24,否
289000,3,1.75,1260,8400,1,0,3,7,1954,47.4366,-122.335,1290,8750,1.714285714,无,12.1,0.497042623,2014,Q3,是,60,否
505000,3,1.75,2519,8690,2,0,5,8,1973,47.4428,-122.344,2500,9500,1.714285714,无,11.66,0.505706796,2014,Q4,是,41,否
549000,3,1.75,1540,1044,3,0,3,8,2014,47.6765,-122.32,1580,3090,1.714285714,无,2.2,0.068125596,2014,Q4,是,0,否
425000,3,2.25,1660,6000,1,0,3,7,1979,47.6113,-122.297,1440,4080,1.333333333,有,1.09,0.095896886,2014,Q2,是,35,否
317625,3,2.75,2770,3809,1.5,0,5,7,1925,47.5747,-122.304,1440,4000,1.090909091,有,2.73,0.174763821,2014,Q4,是,89,否
287000,4,2.5,2240,4648,2,0,3,7,2005,47.3378,-122.257,2221,4557,1.6,无,19.22,0.501579779,2014,Q4,否,9,否
325000,3,2,1260,5612,1,0,4,7,1972,47.7362,-122.179,1640,4745,1.5,无,9.78,0.275708061,2015,Q1,否,43,否
571000,4,2,2750,7807,1.5,0,5,7,1916,47.7168,-122.287,1510,7807,2,有,5.37,0.169424374,2014,Q2,是,98,否
360000,4,2.5,2380,5000,2,0,3,8,2005,47.3608,-122.036,2420,5000,1.6,无,21.91,0.437399093,2014,Q3,否,9,否
380000,4,1.75,1760,7300,1,0,3,7,1956,47.6034,-122.125,1680,7500,2.285714286,有,9.15,0.240961112,2014,Q4,否,58,否
480000,3,1,1040,5060,1,0,3,7,1941,47.5636,-122.394,890,5060,3,无,4.02,0.301356953,2015,Q2,是,74,否
410000,3,1,1410,5060,1,0,4,7,1956,47.7073,-122.34,1130,5693,3,有,3.28,0.153066832,2014,Q2,是,58,否
390000,3,2.5,2350,5100,2,0,3,8,2003,47.3512,-122.008,2350,5363,1.2,无,23.24,0.437399093,2014,Q4,否,11,否
360000,4,2.5,1900,5889,2,0,3,7,1992,47.349,-122.031,1870,6405,1.6,无,22.7,0.437399093,2014,Q4,否,22,否
355000,2,1,2020,6720,1,0,3,7,1948,47.5474,-122.291,1720,6720,2,有,4.72,0.246678756,2014,Q4,是,66,否
356000,3,1.5,1680,8712,1,0,3,8,1964,47.4811,-122.149,1850,8797,2,无,12.12,0.437399093,2015,Q1,否,51,否
315000,3,1,960,6634,1,0,3,6,1952,47.7264,-122.31,1570,7203,3,无,5.14,0.177101727,2014,Q2,是,62,否
940000,3,1.5,2140,3600,2,0,3,9,1925,47.6337,-122.365,2020,4800,2,有,0.49,0.12851971,2014,Q4,是,89,否
305000,5,2.25,2660,8400,1.5,0,5,7,1961,47.2909,-122.189,1590,8165,2.222222222,无,23.07,0.503535928,2014,Q4,否,53,否
461000,3,3.25,2770,6278,2,0,3,9,2006,47.5228,-122.199,1900,7349,0.923076923,有,8.41,0.393844328,2014,Q2,否,8,否
215000,2,2.25,1610,2040,2,0,4,7,1979,47.518,-122.194,1950,2025,0.888888889,无,8.81,0.393844328,2014,Q2,否,35,否
335000,2,1.75,1030,1066,2,0,3,7,2006,47.5394,-122.387,1030,1106,1.142857143,有,5.36,0.337219031,2014,Q3,是,8,否
243500,4,2.5,1980,7403,2,0,3,7,1988,47.2897,-122.372,1980,7510,1.6,无,22.27,0.507470721,2014,Q2,否,26,否
1100000,5,2.75,3520,6353,2,0,4,10,2001,47.6506,-122.391,2520,6250,1.818181818,无,0.69,0.151344232,2015,Q1,是,14,否
430000,3,1.5,1580,5000,1,0,3,8,1939,47.687,-122.386,1570,4500,2,有,1.61,0.175624206,2014,Q3,是,75,否
700000,3,1.5,1580,5000,1,0,3,8,1939,47.687,-122.386,1570,4500,2,有,1.61,0.175624206,2014,Q4,是,75,否
199000,4,1.5,1160,6400,1,0,4,7,1975,47.3036,-122.378,1160,6400,2.666666667,无,21.33,0.508931224,2014,Q3,否,39,否
555000,3,2,1980,3478,1.5,0,4,7,1929,47.6775,-122.372,1610,3478,1.5,有,0.84,0.139880173,2014,Q4,是,85,否
1090000,3,2.5,2920,8113,2,0,3,8,1950,47.5814,-122.196,2370,8113,1.2,无,6.2,0.240961112,2014,Q4,否,4,是
460000,3,1,1670,4005,1.5,0,4,7,1939,47.6878,-122.38,1240,4005,3,有,1.58,0.168737573,2014,Q2,是,75,否
188500,2,1.75,1240,2493,1,0,4,8,1985,47.3813,-122.322,1270,4966,1.142857143,无,15.95,0.498346866,2014,Q3,是,29,是
597750,4,2.5,2310,9624,2,0,3,8,1984,47.5386,-122.053,1940,9636,1.6,无,13.5,0.415300639,2014,Q3,否,30,否
570000,3,1.75,1260,3328,1,0,5,6,1905,47.6823,-122.349,1380,3536,1.714285714,有,1.63,0.118034354,2015,Q1,是,110,是
329950,3,1.75,2080,5969,1,2,3,7,1971,47.5474,-122.295,2090,5500,1.714285714,有,4.66,0.248690617,2014,Q4,是,43,否
518500,3,3.5,1590,1102,3,0,3,8,2010,47.6824,-122.347,1620,3166,0.857142857,无,1.7,0.115030689,2014,Q2,是,4,是
205425,2,1,880,6780,1,0,4,6,1945,47.5009,-122.248,1190,6780,2,无,8.43,0.367579209,2014,Q2,是,69,否
171800,4,2,1570,9600,1,0,3,6,1950,47.4965,-122.303,1880,9000,2,无,8.07,0.383187849,2015,Q1,是,65,否
535000,4,1,1610,2982,1.5,0,4,7,1925,47.587,-122.294,1610,4040,4,无,2.16,0.15377588,2015,Q2,是,90,否
660000,3,2.5,2400,6474,1,2,3,8,1964,47.7728,-122.386,2340,10856,1.2,有,7.44,0.345814651,2015,Q1,是,51,否
391500,3,2,1450,9132,1,0,3,7,1987,47.7288,-122.226,1580,9104,1.5,无,7.8,0.275708061,2014,Q4,否,27,否
